Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
04424_20130223T1733280000_001;23/02/2013 17:33;23/02/2013 17:10;23/02/2013 22:30;Indisponibilité fortuite;Gaz;Indisponibilité de production;MARTIGUES PONTEAU 5;17W100P100P0174C;EDF;17X100A100R00182;465;0;465;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130223T1934360000_001;23/02/2013 19:34;23/02/2013 19:00;25/02/2013 00:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;BLENOD 2;17W100P100P00121;EDF;17X100A100R00182;250;115;135;Divers;-;Active;MW;10YFR-RTE------C
04424_20130223T2019050000_002;23/02/2013 20:19;23/02/2013 20:16;24/02/2013 06:45;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;410;175;Divers;-;Active;MW;10YFR-RTE------C
04424_20130223T2019050000_001;23/02/2013 20:19;23/02/2013 20:16;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;410;175;Divers;-;Inactive;MW;10YFR-RTE------C
04424_2008400000000000000_003;24/02/2013 11:00;24/02/2013 10:50;25/02/2013 12:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;MARTIGUES PONTEAU 5;17W100P100P0174C;EDF;17X100A100R00182;465;0;465;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_2008400000000000000_002;24/02/2013 11:00;24/02/2013 10:50;25/02/2013 12:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;MARTIGUES PONTEAU 5;17W100P100P0174C;EDF;17X100A100R00182;465;0;465;Divers;-;Inactive;MW;10YFR-RTE------C
04424_2008400000000000000_001;24/02/2013 11:00;24/02/2013 10:50;;Indisponibilité fortuite;Gaz;Indisponibilité de production;MARTIGUES PONTEAU 5;17W100P100P0174C;EDF;17X100A100R00182;465;0;465;;-;Inactive;MW;10YFR-RTE------C
04424_20130224T0857030000_001;24/02/2013 08:57;24/02/2013 08:23;;Indisponibilité fortuite;Charbon;Indisponibilité de production;VITRY 3;17W100P100P0026R;EDF;17X100A100R00182;250;205;45;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
04424_2009500000000000000_003;25/02/2013 20:44;25/02/2013 20:20;26/02/2013 17:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;0;1300;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
04424_2009500000000000000_002;25/02/2013 20:44;25/02/2013 20:20;26/02/2013 17:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;0;1300;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
