Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
FOSCH20111231000000000000_003;07/12/2012 03:15;31/12/2011 01:00;02/01/2014 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Annulée;MW;10YFR-RTE------C
FOSCH20111231000000000000_002;07/12/2012 03:15;31/12/2011 01:00;02/01/2014 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Inactive;MW;10YFR-RTE------C
FOSCH20111231000000000000_001;07/12/2012 03:15;31/12/2011 01:00;02/01/2013 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20121230T1943240000_001;30/12/2012 19:43;01/01/2013 08:00;01/01/2013 14:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;650;680;Divers;-;Active;MW;10YFR-RTE------C
04424_1964700000000000000_002;31/12/2012 22:58;31/12/2012 22:10;02/01/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;ARRIGHI 1;17W100P100P0031Y;EDF;17X100A100R00182;125;0;125;Divers;-;Active;MW;10YFR-RTE------C
04424_20121231T1701590000_001;31/12/2012 17:01;31/12/2012 20:00;01/01/2013 04:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;900;595;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_20121231T1703230000_002;31/12/2012 17:03;01/01/2013 04:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;0;1495;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_20121231T1703230000_001;31/12/2012 17:03;01/01/2013 04:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;0;1495;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Inactive;MW;10YFR-RTE------C
04424_20121231T1835540000_004;31/12/2012 18:35;01/01/2013 07:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20121231T1835540000_003;31/12/2012 18:35;01/01/2013 07:00;02/01/2013 05:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20121231T1835540000_002;31/12/2012 18:35;01/01/2013 07:00;02/01/2013 05:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20121231T1835540000_001;31/12/2012 18:35;01/01/2013 07:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_1357009847711-20300_003;01/01/2013 04:16;01/01/2013 04:08;01/01/2013 04:50;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 1;17W100P100P0076C;EDF;17X100A100R00182;202;0;202;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
04424_1357009847711-20300_002;01/01/2013 04:16;01/01/2013 04:08;01/01/2013 04:50;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 1;17W100P100P0076C;EDF;17X100A100R00182;202;0;202;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
04424_1357009847711-20300_001;01/01/2013 04:16;01/01/2013 04:08;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 1;17W100P100P0076C;EDF;17X100A100R00182;202;0;202;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1357057002890-27300_003;01/01/2013 17:21;01/01/2013 17:16;01/01/2013 19:15;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;VILLARODIN 2;17W100P100P00885;EDF;17X100A100R00182;180;0;180;Pour l'hydraulique : Turbine ? Vanne de pied ? Pivoterie;-;Active;MW;10YFR-RTE------C
04424_1357057002890-27300_002;01/01/2013 17:21;01/01/2013 17:16;01/01/2013 19:15;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;VILLARODIN 2;17W100P100P00885;EDF;17X100A100R00182;180;0;180;Pour l'hydraulique : Turbine ? Vanne de pied ? Pivoterie;-;Inactive;MW;10YFR-RTE------C
04424_1357057002890-27300_001;01/01/2013 17:21;01/01/2013 17:16;;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;VILLARODIN 2;17W100P100P00885;EDF;17X100A100R00182;180;0;180;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1965100000000000000_005;01/01/2013 09:08;01/01/2013 10:00;01/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 1;17W100P100P0147F;EDF;17X100A100R00182;915;0;915;Divers;-;Active;MW;10YFR-RTE------C
04424_1965100000000000000_004;01/01/2013 09:08;01/01/2013 10:00;01/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 1;17W100P100P0147F;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_1965100000000000000_003;01/01/2013 09:08;01/01/2013 10:00;01/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 1;17W100P100P0147F;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_1965100000000000000_002;01/01/2013 09:08;01/01/2013 10:00;01/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 1;17W100P100P0147F;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_1965100000000000000_001;01/01/2013 09:08;01/01/2013 10:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 1;17W100P100P0147F;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_20130101T1218580000_002;01/01/2013 12:18;01/01/2013 11:00;02/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130101T1218580000_001;01/01/2013 12:18;01/01/2013 11:00;02/01/2013 05:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130101T1351380000_002;01/01/2013 13:51;01/01/2013 14:00;01/01/2013 15:38;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;PENLY 2;17W100P100P0144L;EDF;17X100A100R00182;1330;287;1043;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130101T1351380000_001;01/01/2013 13:51;01/01/2013 14:00;01/01/2013 18:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;PENLY 2;17W100P100P0144L;EDF;17X100A100R00182;1330;287;1043;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130101T1417560000_001;01/01/2013 14:17;01/01/2013 14:00;01/01/2013 16:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;650;680;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130101T1840270000_002;01/01/2013 18:40;01/01/2013 17:00;01/01/2013 21:45;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;650;680;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130101T1840270000_001;01/01/2013 18:40;01/01/2013 17:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;650;680;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_1966100000000000000_003;02/01/2013 05:04;02/01/2013 04:50;02/01/2013 05:45;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 5;17W100P100P0018Q;EDF;17X100A100R00182;580;0;580;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_1966100000000000000_002;02/01/2013 05:04;02/01/2013 04:50;02/01/2013 05:45;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 5;17W100P100P0018Q;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
04424_1966100000000000000_001;02/01/2013 05:04;02/01/2013 04:50;;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 5;17W100P100P0018Q;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
04424_1966500000000000000_003;02/01/2013 09:40;02/01/2013 08:00;02/01/2013 12:40;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 4;17W100P100P0017S;EDF;17X100A100R00182;580;0;580;;-;Active;MW;10YFR-RTE------C
04424_1966500000000000000_002;02/01/2013 09:40;02/01/2013 08:00;02/01/2013 12:37;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 4;17W100P100P0017S;EDF;17X100A100R00182;580;0;580;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_1966500000000000000_001;02/01/2013 09:40;02/01/2013 08:00;;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 4;17W100P100P0017S;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
04424_1967000000000000000_002;02/01/2013 23:13;02/01/2013 23:00;03/01/2013 23:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 2;17W100P100P0148D;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_1967000000000000000_001;02/01/2013 23:13;02/01/2013 23:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 2;17W100P100P0148D;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_20130102T0052380000_001;02/01/2013 00:52;02/01/2013 05:00;02/01/2013 15:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;1129;201;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130102T1158090000_001;02/01/2013 11:58;02/01/2013 11:45;;Indisponibilité fortuite;Charbon;Indisponibilité de production;CORDEMAIS 5;17W100P100P0018Q;EDF;17X100A100R00182;580;327;253;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
04424_20130102T1209030000_005;02/01/2013 12:09;03/01/2013 11:00;03/01/2013 22:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130102T1209030000_004;02/01/2013 12:09;03/01/2013 11:00;03/01/2013 21:30;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130102T1209030000_003;02/01/2013 12:09;03/01/2013 11:00;03/01/2013 20:30;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130102T1209030000_002;02/01/2013 12:09;03/01/2013 11:00;03/01/2013 21:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130102T1209030000_001;02/01/2013 12:09;03/01/2013 11:00;03/01/2013 22:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130102T1658230000_001;02/01/2013 16:58;02/01/2013 22:00;03/01/2013 05:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;530;385;Divers;-;Active;MW;10YFR-RTE------C
04424_1967400000000000000_003;03/01/2013 07:46;03/01/2013 02:15;03/01/2013 22:20;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;0;580;Divers;-;Active;MW;10YFR-RTE------C
04424_1967400000000000000_002;03/01/2013 07:46;03/01/2013 02:15;03/01/2013 22:20;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
04424_1967400000000000000_001;03/01/2013 07:46;03/01/2013 02:15;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
7W100P100P0005Z0301130802_001;03/01/2013 08:53;03/01/2013 08:02;03/01/2013 10:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;EMILE HUCHET 6;17W100P100P0005Z;GAZEL ENERGIE;17X100A100R0056V;595;450;145;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_1357254318125-67000_003;04/01/2013 00:07;04/01/2013 00:04;04/01/2013 01:10;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;CHEYLAS 2;17W100P100P0057G;EDF;17X100A100R00182;259;0;259;Divers;-;Active;MW;10YFR-RTE------C
04424_1357254318125-67000_002;04/01/2013 00:07;04/01/2013 00:04;04/01/2013 01:10;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;CHEYLAS 2;17W100P100P0057G;EDF;17X100A100R00182;259;0;259;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1357254318125-67000_001;04/01/2013 00:07;04/01/2013 00:04;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;CHEYLAS 2;17W100P100P0057G;EDF;17X100A100R00182;259;0;259;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1967700000000000000_003;04/01/2013 01:09;04/01/2013 01:00;04/01/2013 05:20;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 2;17W100P100P0148D;EDF;17X100A100R00182;915;0;915;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_1967700000000000000_002;04/01/2013 01:09;04/01/2013 01:00;04/01/2013 05:20;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 2;17W100P100P0148D;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_1967700000000000000_001;04/01/2013 01:09;04/01/2013 01:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;ST LAURENT 2;17W100P100P0148D;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_1968300000000000000_002;04/01/2013 22:35;04/01/2013 22:35;14/01/2013 05:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;0;580;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_1968300000000000000_001;04/01/2013 22:35;04/01/2013 22:35;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;0;580;;-;Inactive;MW;10YFR-RTE------C
04424_20130104T0429130000_002;04/01/2013 04:29;04/01/2013 04:00;04/01/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 1;17W100P100P0149B;EDF;17X100A100R00182;915;530;385;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_20130104T0429130000_001;04/01/2013 04:29;04/01/2013 04:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 1;17W100P100P0149B;EDF;17X100A100R00182;915;530;385;Chaudière - Réacteur - Génération de vapeur;-;Inactive;MW;10YFR-RTE------C
04424_1357347127140-20400_003;05/01/2013 01:54;05/01/2013 01:48;05/01/2013 03:13;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 2;17W100P100P0077A;EDF;17X100A100R00182;202;0;202;Auxiliaires;-;Active;MW;10YFR-RTE------C
04424_1357347127140-20400_002;05/01/2013 01:54;05/01/2013 01:48;05/01/2013 03:13;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 2;17W100P100P0077A;EDF;17X100A100R00182;202;0;202;Auxiliaires;-;Inactive;MW;10YFR-RTE------C
04424_1357347127140-20400_001;05/01/2013 01:54;05/01/2013 01:48;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;REVIN 2;17W100P100P0077A;EDF;17X100A100R00182;202;0;202;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_20130105T1328490000_002;05/01/2013 13:28;05/01/2013 17:00;06/01/2013 01:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;510;405;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130105T1328490000_002;05/01/2013 13:28;05/01/2013 17:00;06/01/2013 01:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;510;405;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130105T1328490000_001;05/01/2013 13:28;05/01/2013 17:00;06/01/2013 04:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;510;405;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130105T1521580000_002;05/01/2013 15:21;05/01/2013 22:00;08/01/2013 00:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;CORDEMAIS 2;17W100P100P0034S;EDF;17X100A100R00182;685;0;685;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_20130105T1521580000_001;05/01/2013 15:21;05/01/2013 22:00;08/01/2013 00:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;CORDEMAIS 2;17W100P100P0034S;EDF;17X100A100R00182;685;0;685;Chaudière - Réacteur - Génération de vapeur;-;Inactive;MW;10YFR-RTE------C
04424_20130105T2022200000_001;05/01/2013 20:22;05/01/2013 20:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;GRAVELINES 3;17W100P100P0132S;EDF;17X100A100R00182;910;154;756;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_1970400000000000000_002;06/01/2013 23:52;06/01/2013 23:50;07/01/2013 07:55;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;0;585;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_1970400000000000000_001;06/01/2013 23:52;06/01/2013 23:50;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;0;585;;-;Inactive;MW;10YFR-RTE------C
04424_20130106T0540220000_003;06/01/2013 05:40;06/01/2013 04:00;07/01/2013 10:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;660;640;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130106T0540220000_002;06/01/2013 05:40;06/01/2013 04:00;07/01/2013 02:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;660;640;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130106T0540220000_001;06/01/2013 05:40;06/01/2013 04:00;06/01/2013 23:59;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;620;680;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130106T1008490000_001;06/01/2013 10:08;06/01/2013 10:00;06/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;NOGENT 1;17W100P100P0137I;EDF;17X100A100R00182;1310;750;560;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130106T1107140000_001;06/01/2013 11:07;06/01/2013 11:00;06/01/2013 12:30;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;NOGENT 1;17W100P100P0137I;EDF;17X100A100R00182;1310;880;430;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130106T1726420000_002;06/01/2013 17:26;06/01/2013 17:50;06/01/2013 19:50;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;GRAVELINES 3;17W100P100P0132S;EDF;17X100A100R00182;910;390;520;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_20130106T1726420000_001;06/01/2013 17:26;06/01/2013 17:50;06/01/2013 21:30;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;GRAVELINES 3;17W100P100P0132S;EDF;17X100A100R00182;910;390;520;Chaudière - Réacteur - Génération de vapeur;-;Inactive;MW;10YFR-RTE------C
04424_1357557742117-60000_003;07/01/2013 12:25;07/01/2013 12:19;07/01/2013 14:40;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;COMBE D'AVRIEUX 1;17W100P100P00893;EDF;17X100A100R00182;123;0;123;Pour l'hydraulique : Turbine ? Vanne de pied ? Pivoterie;-;Active;MW;10YFR-RTE------C
04424_1357557742117-60000_002;07/01/2013 12:25;07/01/2013 12:19;07/01/2013 14:40;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;COMBE D'AVRIEUX 1;17W100P100P00893;EDF;17X100A100R00182;123;0;123;Pour l'hydraulique : Turbine ? Vanne de pied ? Pivoterie;-;Inactive;MW;10YFR-RTE------C
04424_1357557742117-60000_001;07/01/2013 12:25;07/01/2013 12:19;;Indisponibilité fortuite;Hydraulique lacs;Indisponibilité de production;COMBE D'AVRIEUX 1;17W100P100P00893;EDF;17X100A100R00182;123;0;123;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1970800000000000000_002;07/01/2013 10:22;07/01/2013 10:10;08/01/2013 15:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;DAMPIERRE 4;17W100P100P0123T;EDF;17X100A100R00182;890;0;890;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_1970800000000000000_001;07/01/2013 10:22;07/01/2013 10:10;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;DAMPIERRE 4;17W100P100P0123T;EDF;17X100A100R00182;890;0;890;;-;Inactive;MW;10YFR-RTE------C
04424_20130107T1036410000_003;07/01/2013 10:36;07/01/2013 10:30;08/01/2013 00:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;660;640;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20130107T1036410000_002;07/01/2013 10:36;07/01/2013 10:30;07/01/2013 16:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;660;640;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130107T1036410000_001;07/01/2013 10:36;07/01/2013 10:30;07/01/2013 13:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 3;17W100P100P0104X;EDF;17X100A100R00182;1300;660;640;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
04424_20130107T1206110000_002;07/01/2013 12:06;07/01/2013 11:58;07/01/2013 12:30;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;310;275;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
04424_20130107T1206110000_001;07/01/2013 12:06;07/01/2013 11:58;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;310;275;Chaudière - Réacteur - Génération de vapeur;-;Inactive;MW;10YFR-RTE------C
04424_20130107T2138220000_001;07/01/2013 21:38;08/01/2013 00:00;08/01/2013 05:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;450;135;Chaudière - Réacteur - Génération de vapeur;-;Active;MW;10YFR-RTE------C
7W100P100P000320701131217_002;07/01/2013 12:18;07/01/2013 12:17;07/01/2013 16:54;Indisponibilité fortuite;Charbon;Indisponibilité de production;EMILE HUCHET 5;17W100P100P00032;GAZEL ENERGIE;17X100A100R0056V;285;0;285;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
7W100P100P000320701131217_001;07/01/2013 12:18;07/01/2013 12:17;;Indisponibilité fortuite;Charbon;Indisponibilité de production;EMILE HUCHET 5;17W100P100P00032;GAZEL ENERGIE;17X100A100R0056V;285;0;285;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
7W100P100P000320801131803_001;08/01/2013 18:04;08/01/2013 18:03;08/01/2013 23:59;Indisponibilité fortuite;Charbon;Indisponibilité de production;EMILE HUCHET 5;17W100P100P00032;GAZEL ENERGIE;17X100A100R0056V;285;0;285;Divers;-;Active;MW;10YFR-RTE------C
