Unnamed: 0;region;filiere_production;date;puis_max_installee
73;BOURGOGNE FRANCHE COMTE;bioenergies;2013-01-01 00:30:00;24.39
74;BOURGOGNE FRANCHE COMTE;eolien;2013-01-01 00:30:00;203.6
75;BOURGOGNE FRANCHE COMTE;hydraulique;2013-01-01 00:30:00;430.06432
76;BOURGOGNE FRANCHE COMTE;solaire;2013-01-01 00:30:00;224.404975
77;BOURGOGNE FRANCHE COMTE;thermique;2013-01-01 00:30:00;288.818
78;BRETAGNE;bioenergies;2013-01-01 00:30:00;35.648
79;BRETAGNE;eolien;2013-01-01 00:30:00;715.6809000000001
80;BRETAGNE;hydraulique;2013-01-01 00:30:00;11.0
81;BRETAGNE;solaire;2013-01-01 00:30:00;200.56188
82;BRETAGNE;thermique;2013-01-01 00:30:00;658.476
83;CENTRE VAL DE LOIRE;bioenergies;2013-01-01 00:30:00;41.276
84;CENTRE VAL DE LOIRE;eolien;2013-01-01 00:30:00;661.934
85;CENTRE VAL DE LOIRE;hydraulique;2013-01-01 00:30:00;90.651
86;CENTRE VAL DE LOIRE;nucleaire;2013-01-01 00:30:00;11630.0
87;CENTRE VAL DE LOIRE;solaire;2013-01-01 00:30:00;155.337562
88;CENTRE VAL DE LOIRE;thermique;2013-01-01 00:30:00;156.688
89;GRAND EST;bioenergies;2013-01-01 00:30:00;75.9025
90;GRAND EST;eolien;2013-01-01 00:30:00;1802.585
91;GRAND EST;hydraulique;2013-01-01 00:30:00;2267.9864
92;GRAND EST;nucleaire;2013-01-01 00:30:00;10820.0
93;GRAND EST;solaire;2013-01-01 00:30:00;495.656904
94;GRAND EST;thermique;2013-01-01 00:30:00;3378.019
95;HAUTS DE FRANCE;bioenergies;2013-01-01 00:30:00;122.104
96;HAUTS DE FRANCE;eolien;2013-01-01 00:30:00;1526.834
97;HAUTS DE FRANCE;hydraulique;2013-01-01 00:30:00;4.307
98;HAUTS DE FRANCE;nucleaire;2013-01-01 00:30:00;5460.0
99;HAUTS DE FRANCE;solaire;2013-01-01 00:30:00;185.665551
